exchange,symbol,funding,next_funding,short_ma,long_ma,positive_ratio,volatility,timestamp
okx,AAVE/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,1.427639250676192e-06,5.578130312682223e-06,0.6166666666666667,6.647909025453698e-05,
okx,ACT/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,3.915612881063334e-05,4.741996192456e-05,0.9416666666666667,8.189471626471888e-05,
okx,ACU/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.9999999999999996e-05,9.970383262145444e-05,0.9916666666666667,0.00012209268633472695,
okx,AERO/USDT:USDT,-4.1751673616e-06,2026-03-24T12:00:00.000Z,-0.0001792671343928048,-5.24408942719511e-05,0.7333333333333333,0.00025958923824203104,
okx,AIXBT/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-3.0196719542557146e-05,-2.1534801495798886e-05,0.5916666666666667,0.00011958319131870511,
okx,ADA/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-5.987933653044762e-05,-7.5401236426033314e-06,0.575,0.00010719487214738832,
okx,AEVO/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-1.8145816251204756e-05,3.223141803461446e-05,0.8666666666666667,9.739141645155788e-05,
okx,AGLD/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,9.347264994085718e-06,-0.0004979557141902689,0.525,0.0013043537909020956,
okx,ALGO/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-4.9407550595142895e-06,-0.0001243768089404278,0.4083333333333333,0.0001936048258536797,
okx,AMD/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,1.4285714285714287e-05,5.7385406629123074e-05,0.5384615384615384,5.585914511384787e-05,
okx,ALLO/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,4.376509436065715e-05,1.0426307507566678e-06,0.725,0.00012197546215571364,
okx,APR/USDT:USDT,0.0001438403579981,2026-03-24T12:00:00.000Z,0.00022605832428693334,0.0001988395991851633,0.925,0.000354874283907253,
okx,APT/USDT:USDT,7.71471061914e-05,2026-03-24T16:00:00.000Z,-6.991597174104285e-05,-7.880520332380555e-05,0.4083333333333333,0.0001633050930405178,
okx,API3/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-6.92535856768381e-05,-6.804543750195001e-05,0.575,0.000196519460832798,
okx,ANIME/USDT:USDT,1.25e-05,2026-03-24T09:00:00.000Z,-4.4906435141309534e-05,-0.00025748842600093,0.6416666666666667,0.0006354695295485003,
okx,APE/USDT:USDT,-0.0002579288198994,2026-03-24T16:00:00.000Z,-0.00022150982328061433,-0.00014125309263423555,0.325,0.000216069771332547,
okx,AMZN/USDT:USDT,0.0,2026-03-24T16:00:00.000Z,3.2115399471195245e-05,7.413150682585318e-05,0.7721518987341772,6.569134617465737e-05,
okx,ARB/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,-2.2467901879419047e-05,-5.838616096236663e-06,0.575,0.00010658165406391725,
okx,AR/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,7.684506468928096e-05,5.4709625126611114e-05,0.85,8.045386188471164e-05,
okx,ARKM/USDT:USDT,0.0001,2026-03-24T16:00:00.000Z,4.41410560826762e-05,4.974601211411445e-05,0.8166666666666667,8.709239463055591e-05,
okx,AUCTION/USDT:USDT,5e-05,2026-03-24T12:00:00.000Z,-6.494261451940001e-05,-4.6208816813692234e-05,0.5583333333333333,0.0001979449136880142,
okx,ATOM/USDT:USDT,-0.0001721835238001,2026-03-24T16:00:00.000Z,-9.641194304024761e-05,-0.0003674472676716288,0.23333333333333334,0.0005564050210919545,
